100 0.000101834
1100 0.0116923
2100 0.0434355
3100 0.0941512
4100 0.164722
5100 0.253028
6100 0.364445
7100 0.480788
8100 0.62375
9100 0.80298
10100 1.01783
11100 1.20821
12100 1.47649
13100 1.70867
14100 2.00727
15100 2.28494
16100 2.57621
17100 2.90499
18100 3.2338
19100 3.64332
20100 4.20491
21100 4.49391
22100 5.10287
23100 5.34031
24100 5.76273
25100 6.38516
26100 6.90501
27100 7.397
28100 7.88573
29100 8.26683
30100 8.50649
31100 9.14728
32100 9.60902
33100 10.3048
34100 10.8583
35100 11.82
36100 12.1137
37100 15.2881
38100 19.2442
39100 17.0459
40100 19.6133
41100 21.7251
42100 22.5591
43100 22.615
44100 25.284
45100 25.8322
46100 25.8806
47100 26.8049
48100 29.7413
49100 32.1945
